Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
1,-,1 y 2,CASAS CONSISTORIALES (OFICINAS),Dominio Público,Servicio Público,Casas Consistoriales,386.0 m2,4369719WK7346G0001LX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
2,-,3,DEPÓSITO AGUA POTABLE. C/ SAN PEDRO. 29 Y 31,Dominio Público,Uso Público,Infraestructuras Hidráulicas,1229.5 m2,4472005WK7347A0001XI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
3,-,5,RELOJ DE MANGANA,Dominio Público,Servicio Público,Centros Turismo,8.4 m2,SIN REFERENCIA,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
4,-,14 y 355,MUSEO DE ARTE ABSTRACTO. CASAS COLGADAS,Dominio Público,Servicio Público,Centros Culturales,544.25 m2,4470004WK7346G0001EX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
5,-,169,COLEGIO PÚBLICO 'EL CARMEN',Dominio Público,Servicio Público,Centros Educativos,2085.7 m2,3969026WK7346G0001SX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
6,-,177,ANTIGUA IGLESIA DE SAN MIGUEL,Patrimonial,Patrimoniales,Locales,998.0 m2,4271404WK7347A0001JI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
7,-,175 y 289,APARCAMIENTO PÚBLICO EN C/ TRABUCO,Dominio Público,Servicio Público,Aparcamientos Públicos,2080.05 m2,4474309WK7347C0001AE,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
8,-,6,CASA CORREGIDOR,Patrimonial,Patrimoniales,Viviendas,548.1 m2,4267104WK7346G0005RE::4267104WK7346G0002QM::4267104WK7346G0003WQ::4267104WK7346G0004EW::4267104WK7346G0001MX::4267104WK7346G0006TR::4267104WK7346G0010YT::4267104WK7346G0007YT::4267104WK7346G0009IU::4267104WK7346G0008UY::4267104WK7346G0013OI::4267104WK7346G0012IU::4267104WK7346G0011UY,DESCONOCIDO
9,-,7,SOLAR EN PLAZA DEL CARMEN. 1,Patrimonial,Patrimoniales,Solares,205.36 m2,4268006WK7346G0001LX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
10,-,13 y 17,MESÓN CASAS COLGADAS,Dominio Público,Servicio Público,Centros Ocio,340.6 m2,4470003WK7346G0001JX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
11,-,12,EDIFICIO EN C/ ALFONSO VIII. 19,Patrimonial,Patrimoniales,Viviendas,210.0 m2,4369733WK7346G0003QQ::4369733WK7346G0001XX::4369733WK7346G0005EE::4369733WK7346G0007TT::4369733WK7346G0009UU::4369733WK7346G0011YY::4369733WK7346G0004WW::4369733WK7346G0002MM::4369733WK7346G0006RR::4369733WK7346G0008YY::4369733WK7346G0010TT::4369733WK7346G0012UU,DESCONOCIDO
12,-,9,EDIFICIO EN C/ OBISPO VALERO. 8,Patrimonial,Patrimoniales,Viviendas,172.0 m2,4470501WK7346G0002BM::4470501WK7346G0001LX::4470501WK7346G0003ZQ::4470501WK7346G0004XW::4470501WK7346G0005ME::4470501WK7346G0006QR,DESCONOCIDO
13,-,19,CENTRO CULTURAL EN C/ SAN PEDRO. 36,Patrimonial,Patrimoniales,Locales,143.0 m2,4472706WK7347A0001DI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
14,-,176,ANTIGUA IGLESIA DE  SANTA CRUZ.,Patrimonial,Patrimoniales,Locales,627.15 m2,4368001WK7346G0001SX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
15,-,349,MUSEO DE LA CIENCIA,Patrimonial,Patrimoniales,Locales,2681.0 m2,4269327WK7346G0001PX::4269326WK7346G0001QX::4269325WK7346G0001GX,DESCONOCIDO
16,-,181,MUSEO CIENCIA (PARTE) MOSÉN D. VALERA.,Patrimonial,Patrimoniales,Locales,77.15 m2,4269316WK7346G0001UX::4269316WK7346G0002IM::4269316WK7346G0003OQ::4269316WK7346G0004PW::4269316WK7346G0005AE::4269316WK7346G0006SR,DESCONOCIDO
17,-,182,JARDÍN Y TORRE DE SAN GIL,Patrimonial,Patrimoniales,Locales,706.85 m2,4267111WK7346E0001DR::4267112WK7346E0001XR,DESCONOCIDO
18,-,390,MUSEO ZAVALA-GALLARDO.,Dominio Público,Servicio Público,Centros Culturales,562.9 m2,4472014WK7347A0001UI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
19,-,183,SOLAR ENTRE Nº 17 Y 19 DE C/ TRABUCO.,Patrimonial,Patrimoniales,Solares,209.95 m2,4474305WK7347C0001ZE,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
20,-,184,SOLAR EN C/ SAN PEDRO. 10. SAN PANTALEÓN,Patrimonial,Patrimoniales,Solares,147.0 m2,4371301WK7347A0001QI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
21,-,840,SUELO DE EDIFICIO Nº 26 C/ SAN PEDRO,Dominio Público,Uso Público,Vías Públicas Urbanas,132.5 m2,SIN REF. CATASTRAL,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
22,-,11,EDIFICIO EN C/ A. DE CABRERA. 15,Patrimonial,Patrimoniales,Locales,498.0 m2,4168605WK7346G0001LX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
23,-,54,EL ALMUDÍ,Dominio Público,Servicio Público,Otros,694.0 m2,4066601WK7336F0001RO,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
24,-,57,APARCAMIENTO EN C/ CABALLEROS,Dominio Público,Servicio Público,Aparcamientos Públicos,603.65 m2,4167301WK7346E0001SR,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
25,-,1518,MURO DE CONTENCIÓN DE CALLE ALFONSO VIII,Dominio Público,Uso Público,Obras Públicas,384.0 m2,SIN REF. CATASTRAL,DESCONOCIDO
26,-,174,EDIFICIO EN C/ RETIRO,Patrimonial,Patrimoniales,Viviendas,75.25 m2,4068701WK7336H0001KR::4068701WK7336H0002LT,DESCONOCIDO
27,-,191,IGLESIA DE SAN ANDRÉS,Patrimonial,Patrimoniales,Disponible,421.25 m2,4167101WK7346E0001RR,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
28,-,62,SOLAR DEL MATADERO VIEJO,Patrimonial,Patrimoniales,Disponible,153.4 m2,4065701WK7346e0001ER,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
29,-,1240,CASAS CONSISTORIALES (AMPLIACIÓN),Dominio Público,Servicio Público,Casas Consistoriales,300.0 m2,4370403WK7346G0001KX::4370404WK7346G0002TM,DESCONOCIDO
30,-,1241,EDIFICIO EN ALFONSO VIII. 55,Patrimonial,Patrimoniales,Locales,102.0 m2,4369746WK7346G0001BX,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
