Clase,TipoTraccion,Marca,Modelo,Matricula,TituloAdquisicion,Destino,CostoAdquisicion,FechaMatriculacion,Antiguedad
Turismo,Tracción mecánica (combustión),Audi,A6 2.8 Quatro,5865-CGW,Desconocido,Parque Móvil de la Alcaldía,Desconocido,21/4/1999,22
Turismo,Tracción mecánica (combustión),Renault,Laguna 2.0 Dci Dynamique To,5609-GVR,Desconocido,Parque Móvil de la Alcaldía,Desconocido,14/4/2010,11
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X 9 250,4189-DTH,Desconocido,Protocolo,Desconocido,12/12/2005,16
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X 9 125,4158-DTH,Desconocido,Protocolo,Desconocido,12/12/2005,16
Motocicleta,Tracción mecánica (combustión),Suzuki,Burgman 200,6088-GWG,Desconocido,Protocolo,Desconocido,10/5/2010,11
Camión,Tracción mecánica (combustión),Man,8163 Lc,CU-9495-J,Desconocido,Servicio Municipal de Bomberos,Desconocido,17/6/1999,22
Camión,Tracción mecánica (combustión),Pegaso,Autobomba 1090,CU-8780-A,Desconocido,Servicio Municipal de Bomberos,Desconocido,29/8/1975,46
Camión,Tracción mecánica (combustión),Renault,Dg 330T 19 Tm,CU-50632-VE,Desconocido,Servicio Municipal de Bomberos,Desconocido,11/1/1991,30
Camión,Tracción mecánica (combustión),Renault,G230.20 20 Tm,CU-2154-H,Desconocido,Servicio Municipal de Bomberos,Desconocido,12/3/1993,28
Camión,Tracción mecánica (combustión),Iveco,Ml 180 E 27,2559-CXH,Desconocido,Servicio Municipal de Bomberos,Desconocido,21/6/2004,17
Camión,Tracción mecánica (combustión),Mercedes,Benz 1529 Af,7918-GBC,Desconocido,Servicio Municipal de Bomberos,Desconocido,20/2/2008,13
Todo Terreno,Tracción mecánica (combustión),Toyota,Land Cruiser D-4D,4710-FLB,Desconocido,Servicio Municipal de Bomberos,Desconocido,5/2/2007,14
Camión,Tracción mecánica (combustión),Toyota,Hilux,1086-FWY,Desconocido,Servicio Municipal de Bomberos,Desconocido,30/10/2007,14
Camión,Tracción mecánica (combustión),Toyota,Hi-2P,2041-FSS,Desconocido,Servicio Municipal de Bomberos,Desconocido,10/7/2007,14
Todo Terreno,Tracción mecánica (combustión),Nissan,Pick Up 2.5 Tdi Chasis,CU-0424-K,Desconocido,Protección Civil,Desconocido,30/7/1999,22
Turismo,Tracción mecánica (combustión),Suzuki,Sj 410 Ht,CU-5299-D,Desconocido,Protección Civil,Desconocido,30/8/1985,36
Furgón,Tracción mecánica (combustión),Volkswagen,Kombi 1.9 D 5 V,CU-6795-H,Desconocido,Protección Civil,Desconocido,3/6/1994,27
Furgoneta,Tracción mecánica (combustión),Renault,Master Fg,3130-BPY,Desconocido,Protección Civil,Desconocido,3/12/2001,20
Furgoneta,Tracción mecánica (combustión),Citroën,C-15 Top Familiar,7011-BBD,Desconocido,Servicio de Medioambiente (Brigada M. Ambiente de Limpieza),Desconocido,29/9/2000,21
Camión,Tracción mecánica (combustión),Iveco,Ml 30 E 23,CU-5190-J,Desconocido,Servicio de Medioambiente (Brigada M. Ambiente de Limpieza),Desconocido,16/10/1998,23
